namespace,name
CodeBiscuits,assorted-biscuits
ipedrazas,kubernetes-snippets
MercierCorentin,lustre
perrinjerome,dummy-test-hello-world
openfl,lime-vscode-extension
muhammad-sammy,csharp
krishnaVamsi,ib-file-uploader
shaunlebron,vscode-parinfer
fbaligand,vscode-logstash-editor
Dizy,lex-flex-yacc-bison
idleberg,subway
theangryepicbanana,language-io
cheshirekow,cmake-format
pinage404,git-extension-pack
sasjs,sasjs-for-vscode
sianglim,slim
garrit,p5canvas
emulicious,emulicious-debugger
chenglou92,rescript-vscode
mrmlnc,vscode-duplicate
riussi,code-stats-vscode
hroussea,42-norminette-v2
kokakiwi,vscode-capnproto
shevaua,phpcs
AvengaGermanyGmbH,couper
anseki,vscode-color
emilast,LogFileHighlighter
tomi,xa-style-snippets
crystal-lang-tools,crystal-lang
danielsrothstan,uixninja-theme
rafaelmaiolla,diff
perrinjerome,vscode-zc-buildout
Hypernetlabs,galileo-theme
Serpen,vbsvscode
krishnaVamsi,test-plugin
redwan-hossain,auto-rename-tag-clone
golf1052,test-extension
genuitecllc,codetogether
bbenoist,Nix
nanaian,vscode-star-rod
formulahendry,auto-complete-tag
MS-CEINTL,vscode-language-pack-hu
alygin,vscode-tlaplus-nightly
ArtisanByteCrafter,poptheme
ducky,ducky
omBratteng,nftables
fileicons,file-icons
jaspernorth,vscode-pigments
mushan,vscode-paste-image
CismonX,texinfo
Holllo,love
dawidd6,debian-vscode
gitduck,code-streaming
standard,vscode-standard
nadako,vshaxe
ms-vscode,brackets-pack
jebbs,plantuml
launchdarklyofficial,launchdarkly-beta
shoobah,pinkasheck
tonsky,theme-alabaster
F5DevCentral,vscode-f5
bringout,postgres
maximedenes,vscoq
Prisma,vscode-graphql
ms-vscode,vscode-typescript-tslint-plugin
bilelmoussaoui,flatpak-vscode
atishay-jain,All-Autocomplete
Gruntfuggly,open-url
metafacture,flux
mbessey,vscode-rufo
eg2,vscode-npm-script
arzg,gamut
arcanis,vscode-zipfs
AdaCore,ada
deibit,devdocs
corneliusludmann,gitpod-trivia
huntertran,auto-markdown-toc
kaiwood,endwise
davidlday,languagetool-linter
nelsonoftrafalgar,truth-table-generator
ionutvmi,reg
redhat,vscode-wsdl2rest
onecentlin,laravel5-snippets
Mikhail-Arkhipov,r
moshfeu,diff-merge
IronGeek,vscode-darklight
anibalsolon,neuro-viewer
AdaCore,ada-debug
eclipse-cdt,cdt-gdb-vscode
learnpack,learnpack-vscode
s-nlf-fh,glassit
deepakgupta191199,save-commands
LaurentTreguier,rpm-spec
camel-tooling,yo
kaptainmicila,gzdoom-zscript
rokoroku,vscode-theme-darcula
tmrdh,symfony-helper
hugogranstrom,nimiboost
redhat,apache-camel-extension-pack
kodetech,electron-debug
mbari,tethysl
tumido,cron-explained
ankitpati,vscodium-amoled
almenon,arepl
PereLabat,vpl
readthedocs,rtdbin
kokakiwi,vscode-just
openhab,openhab
TakumiI,markdowntable
Nightrains,robloxlsp
millerdev,pyxt
senx,warpscript-language
RDebugger,r-debugger
edukera,archetype
krishnaVamsi,ccbp-project-workspace-plugin
jeanp413,smoketest-check-web
denoland,vscode-deno
tombonnike,vscode-status-bar-format-toggle
Pivotal,vscode-bosh
efoerster,texlab
IBMBlockchain,ibm-blockchain-platform
TONLabs,tondev
redhat,vscode-yaml
Luxcium,pop-n-lock-theme-vscode
tintoy,msbuild-project-tools
daylerees,rainglow
dcasella,monokai-plusplus
jonhue,vscode-cyp
errata-ai,vale-server
eventyret,bootstrap-4-cdn-snippet
emroussel,atom-icons
AdamAnand,adamstool
contextmapper,context-mapper-vscode-extension
HaaLeo,timing
BroadcomMFD,code4z-extension-pack
akamud,vscode-theme-onedark
idleberg,badgen
jamesinaxx,vscode-devaffirmations
steoates,autoimport
sap-partner-eng,extension-pack
rusnasonov,vscode-hugo
sap-partner-eng,python-installer-extension
fivethree,vscode-ionic-snippets
html-validate,vscode-html-validate
dbroemme,yesyoucancoderuby
emroussel,atomize-atom-one-dark-theme
christianvoigt,argdown-vscode
tonka3000,qtvsctools
LuqueDaniel,languague-renpy
huytd,espresso-tutti
tboox,xmake-vscode
evgeniypeshkov,syntax-highlighter
technicolor-creamsicle,deepdark-material
CodeBiscuits,css-biscuits
maelvalais,autoconf
dhall,dhall-lang
Qeenon,hot-emo-theme
pinage404,markdown-extension-pack
krishnaVamsi,ccbp-project-testing
marcostazi,VS-code-vagrantfile
a5hk,ice
Gruntfuggly,scoper
Durzn,brackethighlighter
alygin,vscode-tlaplus
philosowaffle,openapi-designer
tuto193,monokai-vibrant
sbg-rabix,benten-cwl
antfu,vue-i18n-ally
radiolevity,salt-water-taffy
grammarcraft,epsilon-eag-dark-theme
teabyii,ayu
BroadcomMFD,jcl-language-support
cspruit,90s-anime
serayuzgur,crates
bierner,markdown-mermaid
the-compiler,python-tox
rogalmic,vscode-xml-complete
grammarcraft,xtend-lang
denoland,vscode-deno-canary
BroadcomMFD,bridge-for-git-explorer
k--kato,docomment
PereLabat,make-lldb-config
grammarcraft,epsilon-eag
sndst00m,vscode-native-svg-preview
smcpeak,default-keys-windows
MS-CEINTL,vscode-language-pack-bg
ms-toolsai,jupyter
a5huynh,vscode-ron
adelphes,android-dev-ext
aki77,rails-db-schema
a5hk,night-coder
shyykoserhiy,git-autoconfig
giantcola,advanced-new-file
donjayamanne,jquerysnippets
huacat,pink-theme
dunstontc,viml
ozgurkadir,cds-csv-generator
MS-CEINTL,vscode-language-pack-uk
attilabuti,brainfuck-syntax
GustavoASC,google-drive-vscode
robole,markdown-shortcuts
lukinco,lukin-vscode-theme
hoovercj,haskell-linter
byi8220,indented-block-highlighting
ev3dev,ev3dev-browser
ms-python,anaconda-extension-pack
formulahendry,vscode-mysql
ahmadawais,emoji-log-vscode
pinage404,common-configuration-languages-extension-pack
ms-vscode,azure-account
pflannery,vscode-versionlens
prime31,zig
iocave,customize-ui
Gruntfuggly,todo-tree
SDTTTTT,bangumiopen
torn4dom4n,latex-support
Gruntfuggly,bettercomment
fabiospampinato,vscode-open-in-npm
antfu,iconify
robole,marky-markdown
muhammad-sammy,gray-theme
mike-flanigan,daobeam
robole,marky-dynamic
panaeon,vscode-dhall-lsp-server
kisstkondoros,vscode-gutter-preview
chriscamicas,openedge-abl
EdgardMessias,php-noverify
Avoonix,furry-language
Huka,garden-helper
phil9909,ytt-lint
d-koppenhagen,vscode-code-review
nick-rudenko,back-n-forth
shubham-saudolla,lilac
cnshenj,vscode-task-manager
sketchbuch,vsc-packages
intersystems-community,vscode-objectscript
Robouden,robouden-dark
DominicVonk,parameter-hints
neonxp,gotools
Daimler,sechub
GrapeCity,gc-excelviewer
ms-vscode,atom-keybindings
theangryepicbanana,language-pascal
JeffersonQin,latex-snippets-jeff
ExodiusStudios,comment-anchors
assisrMatheus,sidebar-markdown-notes
bbenoist,Doxygen
kasik96,latte
KnisterPeter,vscode-github
tomi,xajssnippets
idleberg,emoji-code
kube,42header
jeff-hykin,better-dockerfile-syntax
paulmolluzzo,convert-css-in-js
larshp,vscode-abap
danmannock,vscode-fsharp-refactor
tchayen,markdown-links
shardulm94,trailing-spaces
fernandoescolar,vscode-solution-explorer
MyoHlaingWin,vscode-language-pack-mm-uni
msjsdiag,debugger-for-edge
lefebsy,vskubi-lite
krishnaVamsi,webview-sample
Koihik,vscode-lua-format
dendron,dendron-snippet-maker
mrmlnc,vscode-scss
muuvmuuv,vscode-sundial
GabrielBB,vscode-lombok
alegemaate,ssl-syntax-support
MS-CEINTL,vscode-language-pack-en-GB
cweijan,vscode-ssh
madeindjs,notable
radiolevity,neofloss
redhat,project-initializer
idleberg,extension-api
asciidoctor,asciidoctor-vscode
orellabacCR,snowqm-extension
mitchdenny,ecdc
fliplet,vscode
jsw,csharpextensions
Hachidaime,cold-deep-black
krishnaVamsi,ccbp-webview-plugin
dz4k,vscode-hyperscript-org
mblode,twig-language-2
metafacture,fix
foxundermoon,shell-format
christian-kohler,path-intellisense
iocave,monkey-patch
richie5um2,vscode-sort-json
huytd,tokyo-city
earshinov,simple-alignment
ahmadawais,shades-of-purple
stkb,rewrap
jeandeaual,scheme
a5hk,paper
BroadcomMFD,lsp-for-rexx
SimplyDanny,modelica
anteprimorac,html-end-tag-labels
cweijan,vscode-mysql-client2
mathiasfrohlich,Kotlin
laike9m,cyberbrain
HanWang,android-adb-wlan
krishnaVamsi,testing-todo-highlighter-plugin
krishnaVamsi,filesystem-watchers
benspaulding,procfile
networkteam,neos-fusion
jq-syntax-highlighting,jq-syntax-highlighting
REditorSupport,r-lsp
IBM,output-colorizer
masonliu,exercism
lgalabru,clarity-lsp
aurorabiz,blade-ui-kit
moshfeu,compare-folders
jerrygoyal,shortcut-menu-bar
BazelBuild,vscode-bazel
idleberg,hopscotch
mbari,tethysltest
olifink,fedora-gnome-light-dark
PROxZIMA,sweetdracula
lextudio,restructuredtext
BroadcomMFD,workflows4z
nadim-vscode,symfony-code-snippets
grammarcraft,epsilon-eag-extension-pack
dlahmad,dracula-for-rust-theme
ms-kubernetes-tools,vscode-kubernetes-tools
idleberg,icon-fonts-legacy
fivethree,vscode-hugo-snippets
sleistner,vscode-fileutils
kahole,magit
pucelle,vscode-css-navigation
dlasagno,wal-theme
atsushieno,language-review
mrworkman,papercolor-vscode-redux
asabil,meson
DotJoshJohnson,xml
ivangabriele,vscode-git-add-and-commit
snakemake,snakemake-lang
idleberg,sfv
cyrilletuzi,angular-schematics
codingyu,laravel-goto-view
activecove,marquee
franklx,vscode-desert256
ChrisRu,vscode-nightsky
arthurwangtz,systemx-studio
CodeStream,github-enterprise
bceskavich,theme-dracula-at-night
denco,confluence-markup
funketh,pride-themes
OlegKunitsyn,gnucobol-debug
PrateekMahendrakar,resxpress
ocamllabs,ocaml-platform